,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
6097,3036,2018-09-20,2018-09-26,Standard Class,277,Consumer,New York City,New York,East,185,Office Supplies,Binders,11.784,3.0,0.2,3.9770999999999996
6098,3036,2018-09-20,2018-09-26,Standard Class,277,Consumer,New York City,New York,East,52,Office Supplies,Fasteners,4.36,2.0,0.0,1.7876000000000003
6102,3036,2018-09-20,2018-09-26,Standard Class,277,Consumer,New York City,New York,East,139,Technology,Phones,104.85000000000001,3.0,0.0,28.309500000000007
6103,3036,2018-09-20,2018-09-26,Standard Class,277,Consumer,New York City,New York,East,84,Technology,Accessories,59.97,3.0,0.0,20.389799999999994
6105,3038,2016-06-18,2016-06-22,Standard Class,403,Corporate,Miami,Florida,South,319,Office Supplies,Art,13.632,4.0,0.2,3.5784
6107,3039,2015-12-20,2015-12-25,Standard Class,576,Consumer,Grand Prairie,Texas,Central,960,Technology,Accessories,65.44,5.0,0.2,-8.180000000000003
6108,3040,2017-09-11,2017-09-16,Standard Class,548,Consumer,Chicago,Illinois,Central,1550,Office Supplies,Labels,6.0,2.0,0.2,2.0999999999999996
6111,3041,2017-11-12,2017-11-16,Standard Class,727,Consumer,Parma,Ohio,East,14,Office Supplies,Appliances,110.096,2.0,0.2,33.028800000000004
6112,3041,2017-11-12,2017-11-16,Standard Class,727,Consumer,Parma,Ohio,East,203,Office Supplies,Fasteners,16.752000000000002,6.0,0.2,5.4444
6114,3041,2017-11-12,2017-11-16,Standard Class,727,Consumer,Parma,Ohio,East,623,Furniture,Chairs,449.372,2.0,0.3,-12.839199999999977
6115,3042,2017-03-14,2017-03-20,Standard Class,70,Corporate,Redwood City,California,West,44,Office Supplies,Binders,41.904,6.0,0.2,14.142599999999996
6117,3043,2017-11-13,2017-11-19,Standard Class,475,Home Office,New York City,New York,East,639,Office Supplies,Labels,14.940000000000001,3.0,0.0,6.8724
6118,3044,2018-09-19,2018-09-25,Standard Class,335,Corporate,Springfield,Oregon,West,516,Technology,Phones,191.976,3.0,0.2,19.197599999999994
6119,3044,2018-09-19,2018-09-25,Standard Class,335,Corporate,Springfield,Oregon,West,1068,Office Supplies,Art,23.832,3.0,0.2,6.553800000000001
6120,3044,2018-09-19,2018-09-25,Standard Class,335,Corporate,Springfield,Oregon,West,441,Furniture,Furnishings,409.216,8.0,0.2,61.38239999999999
6122,3045,2018-12-04,2018-12-09,Standard Class,558,Consumer,Chicago,Illinois,Central,1424,Office Supplies,Storage,61.568,2.0,0.2,4.6175999999999995
6123,3046,2016-08-31,2016-09-05,Standard Class,174,Home Office,Bedford,Texas,Central,1254,Office Supplies,Paper,20.96,4.0,0.2,6.811999999999999
6124,3047,2018-06-03,2018-06-07,Standard Class,164,Corporate,Los Angeles,California,West,1044,Technology,Accessories,44.75,5.0,0.0,8.502499999999994
6125,3047,2018-06-03,2018-06-07,Standard Class,164,Corporate,Los Angeles,California,West,1774,Office Supplies,Paper,11.96,2.0,0.0,5.382
6126,3047,2018-06-03,2018-06-07,Standard Class,164,Corporate,Los Angeles,California,West,766,Office Supplies,Binders,3.912,1.0,0.2,1.2713999999999996
6127,3048,2017-03-31,2017-04-06,Standard Class,552,Consumer,New York City,New York,East,163,Furniture,Chairs,327.99600000000004,6.0,0.1,54.66600000000001
6128,3049,2015-10-25,2015-10-28,First Class,692,Corporate,San Francisco,California,West,1087,Office Supplies,Binders,49.408,4.0,0.2,18.528
6129,3050,2018-03-26,2018-04-02,Standard Class,773,Home Office,Virginia Beach,Virginia,South,936,Technology,Accessories,53.25,3.0,0.0,20.7675
6130,3050,2018-03-26,2018-04-02,Standard Class,773,Home Office,Virginia Beach,Virginia,South,1014,Office Supplies,Fasteners,3.76,2.0,0.0,1.3159999999999998
6132,3052,2018-09-15,2018-09-20,Standard Class,269,Consumer,Lebanon,Tennessee,South,1522,Office Supplies,Paper,163.96,5.0,0.2,59.4355
6133,3053,2017-08-16,2017-08-19,First Class,774,Corporate,Los Angeles,California,West,1529,Furniture,Tables,161.28,2.0,0.2,12.095999999999997
6134,3054,2017-11-04,2017-11-04,Same Day,627,Consumer,Chula Vista,California,West,281,Office Supplies,Art,192.8,4.0,0.0,55.91199999999998
6135,3055,2016-10-18,2016-10-22,Standard Class,607,Home Office,Mcallen,Texas,Central,1575,Technology,Accessories,27.695999999999998,3.0,0.2,3.4619999999999997
6137,3056,2017-10-31,2017-11-04,Second Class,383,Consumer,Hollywood,Florida,South,481,Office Supplies,Paper,32.064,6.0,0.2,11.222399999999999
6138,3057,2015-03-30,2015-04-04,Standard Class,315,Consumer,San Francisco,California,West,430,Furniture,Bookcases,205.666,2.0,0.15,-12.097999999999999
6139,3058,2016-04-18,2016-04-20,First Class,720,Consumer,Santa Maria,California,West,1424,Office Supplies,Storage,115.44,3.0,0.0,30.0144
6141,3059,2018-07-09,2018-07-15,Standard Class,440,Consumer,Manchester,Connecticut,East,1166,Office Supplies,Storage,195.64,4.0,0.0,3.9128000000000043
6142,3059,2018-07-09,2018-07-15,Standard Class,440,Consumer,Manchester,Connecticut,East,957,Technology,Phones,257.98,2.0,0.0,74.8142
6143,3059,2018-07-09,2018-07-15,Standard Class,440,Consumer,Manchester,Connecticut,East,1571,Office Supplies,Art,119.03999999999999,6.0,0.0,48.80640000000001
6144,3060,2018-06-27,2018-07-01,Standard Class,218,Consumer,Omaha,Nebraska,Central,1070,Office Supplies,Paper,20.07,3.0,0.0,9.232199999999999
6145,3061,2015-12-22,2015-12-26,Standard Class,730,Consumer,San Jose,California,West,501,Office Supplies,Art,11.76,4.0,0.0,3.1752000000000002
6146,3062,2018-11-21,2018-11-25,Standard Class,601,Corporate,San Francisco,California,West,501,Office Supplies,Art,11.76,4.0,0.0,3.1752000000000002
6147,3062,2018-11-21,2018-11-25,Standard Class,601,Corporate,San Francisco,California,West,986,Office Supplies,Binders,40.736000000000004,2.0,0.2,14.7668
6148,3063,2017-06-27,2017-06-29,Second Class,663,Consumer,San Francisco,California,West,1551,Technology,Phones,201.584,2.0,0.2,12.599000000000004
6150,3065,2017-04-08,2017-04-11,First Class,528,Consumer,Columbus,Georgia,South,1544,Furniture,Bookcases,354.90000000000003,5.0,0.0,88.72500000000002
6152,3067,2018-07-03,2018-07-08,Standard Class,361,Consumer,Los Angeles,California,West,210,Office Supplies,Storage,87.92,4.0,0.0,0.8791999999999973
6153,3068,2018-04-20,2018-04-23,First Class,51,Corporate,Philadelphia,Pennsylvania,East,1416,Furniture,Furnishings,51.967999999999996,2.0,0.2,10.393599999999998
6154,3068,2018-04-20,2018-04-23,First Class,51,Corporate,Philadelphia,Pennsylvania,East,80,Office Supplies,Storage,51.336000000000006,3.0,0.2,5.775299999999996
6155,3068,2018-04-20,2018-04-23,First Class,51,Corporate,Philadelphia,Pennsylvania,East,403,Office Supplies,Storage,332.704,1.0,0.2,33.27039999999998
6156,3068,2018-04-20,2018-04-23,First Class,51,Corporate,Philadelphia,Pennsylvania,East,1381,Furniture,Furnishings,42.40800000000001,3.0,0.2,9.5418
6157,3069,2017-08-03,2017-08-05,Second Class,743,Consumer,Tulsa,Oklahoma,Central,113,Office Supplies,Envelopes,81.53999999999999,3.0,0.0,38.3238
6160,3071,2015-03-19,2015-03-21,First Class,204,Corporate,Lakeland,Florida,South,524,Technology,Phones,323.97600000000006,3.0,0.2,28.34789999999998
6161,3071,2015-03-19,2015-03-21,First Class,204,Corporate,Lakeland,Florida,South,1139,Office Supplies,Labels,11.808,4.0,0.2,3.9852
6162,3071,2015-03-19,2015-03-21,First Class,204,Corporate,Lakeland,Florida,South,376,Office Supplies,Storage,26.160000000000004,3.0,0.2,1.961999999999998
6163,3071,2015-03-19,2015-03-21,First Class,204,Corporate,Lakeland,Florida,South,1403,Office Supplies,Binders,33.57,5.0,0.7,-25.737000000000002
6164,3071,2015-03-19,2015-03-21,First Class,204,Corporate,Lakeland,Florida,South,1035,Furniture,Furnishings,4.992000000000001,3.0,0.2,1.3728000000000002
6165,3071,2015-03-19,2015-03-21,First Class,204,Corporate,Lakeland,Florida,South,1682,Furniture,Furnishings,20.016000000000002,3.0,0.2,5.504400000000001
6166,3071,2015-03-19,2015-03-21,First Class,204,Corporate,Lakeland,Florida,South,1772,Technology,Accessories,170.24,2.0,0.2,53.19999999999999
6167,3072,2016-04-20,2016-04-25,Standard Class,301,Consumer,Houston,Texas,Central,126,Office Supplies,Paper,117.456,3.0,0.2,44.04599999999999
6168,3073,2016-09-19,2016-09-22,Second Class,459,Corporate,Los Angeles,California,West,496,Office Supplies,Paper,22.96,2.0,0.0,11.2504
6169,3074,2015-08-27,2015-08-30,Second Class,462,Consumer,Springfield,Virginia,South,481,Office Supplies,Paper,13.36,2.0,0.0,6.4128
6170,3075,2017-12-19,2017-12-24,Second Class,775,Corporate,New York City,New York,East,1395,Office Supplies,Binders,34.248000000000005,3.0,0.2,11.558699999999998
6171,3075,2017-12-19,2017-12-24,Second Class,775,Corporate,New York City,New York,East,824,Office Supplies,Art,3.52,2.0,0.0,1.0208
6172,3076,2015-08-02,2015-08-08,Standard Class,125,Home Office,Springfield,Missouri,Central,951,Office Supplies,Binders,26.7,5.0,0.0,12.549
6173,3076,2015-08-02,2015-08-08,Standard Class,125,Home Office,Springfield,Missouri,Central,1651,Technology,Accessories,21.2,2.0,0.0,9.116000000000001
6176,3077,2016-09-21,2016-09-26,Standard Class,673,Consumer,Columbia,South Carolina,South,576,Office Supplies,Storage,85.96,7.0,0.0,24.068799999999996
6177,3077,2016-09-21,2016-09-26,Standard Class,673,Consumer,Columbia,South Carolina,South,1697,Office Supplies,Envelopes,121.96,2.0,0.0,57.32119999999999
6178,3077,2016-09-21,2016-09-26,Standard Class,673,Consumer,Columbia,South Carolina,South,1776,Office Supplies,Paper,23.92,4.0,0.0,11.7208
6179,3077,2016-09-21,2016-09-26,Standard Class,673,Consumer,Columbia,South Carolina,South,911,Office Supplies,Storage,63.96,2.0,0.0,6.396000000000001
6181,3077,2016-09-21,2016-09-26,Standard Class,673,Consumer,Columbia,South Carolina,South,529,Technology,Phones,113.72999999999999,3.0,0.0,32.98169999999999
6182,3077,2016-09-21,2016-09-26,Standard Class,673,Consumer,Columbia,South Carolina,South,347,Office Supplies,Binders,14.6,2.0,0.0,6.861999999999999
6184,3078,2017-12-11,2017-12-13,First Class,489,Home Office,Portland,Oregon,West,38,Furniture,Chairs,403.92,5.0,0.2,25.24500000000002
6186,3080,2016-11-15,2016-11-17,First Class,186,Corporate,New York City,New York,East,392,Office Supplies,Storage,70.94999999999999,3.0,0.0,20.575499999999998
6187,3080,2016-11-15,2016-11-17,First Class,186,Corporate,New York City,New York,East,1344,Office Supplies,Binders,34.944,6.0,0.2,11.793599999999998
6188,3080,2016-11-15,2016-11-17,First Class,186,Corporate,New York City,New York,East,1041,Office Supplies,Art,119.03999999999999,6.0,0.0,35.71199999999999
6189,3081,2018-04-04,2018-04-08,Standard Class,562,Consumer,Des Plaines,Illinois,Central,1191,Technology,Phones,383.84000000000003,4.0,0.2,47.97999999999999
6191,3083,2018-12-13,2018-12-13,Same Day,596,Consumer,Seattle,Washington,West,470,Office Supplies,Storage,31.44,3.0,0.0,8.488800000000001
6192,3084,2018-12-22,2018-12-26,Standard Class,743,Consumer,Houston,Texas,Central,712,Office Supplies,Paper,25.920000000000005,5.0,0.2,9.072
6194,3084,2018-12-22,2018-12-26,Standard Class,743,Consumer,Houston,Texas,Central,640,Office Supplies,Paper,75.88,5.0,0.2,26.557999999999993
6196,3085,2018-10-21,2018-10-28,Standard Class,380,Consumer,Philadelphia,Pennsylvania,East,1069,Office Supplies,Storage,71.376,3.0,0.2,-4.460999999999995
6197,3086,2016-11-13,2016-11-17,Standard Class,154,Consumer,Columbus,Indiana,Central,1346,Office Supplies,Paper,63.769999999999996,7.0,0.0,28.696499999999993
6198,3086,2016-11-13,2016-11-17,Standard Class,154,Consumer,Columbus,Indiana,Central,1259,Technology,Phones,50.97,3.0,0.0,13.252199999999997
6199,3086,2016-11-13,2016-11-17,Standard Class,154,Consumer,Columbus,Indiana,Central,694,Office Supplies,Paper,96.08,2.0,0.0,46.118399999999994
6201,3087,2016-04-16,2016-04-20,Standard Class,766,Consumer,Evanston,Illinois,Central,1700,Technology,Accessories,43.56,3.0,0.2,-4.900499999999997
6204,3090,2018-12-01,2018-12-03,First Class,377,Home Office,Marion,Ohio,East,763,Furniture,Furnishings,7.712000000000001,2.0,0.2,1.7352000000000005
6205,3091,2017-10-20,2017-10-24,Second Class,320,Consumer,Houston,Texas,Central,1346,Office Supplies,Paper,51.016000000000005,7.0,0.2,15.942499999999992
6206,3091,2017-10-20,2017-10-24,Second Class,320,Consumer,Houston,Texas,Central,550,Office Supplies,Fasteners,25.248,4.0,0.2,7.889999999999998
6207,3091,2017-10-20,2017-10-24,Second Class,320,Consumer,Houston,Texas,Central,394,Furniture,Chairs,56.686,1.0,0.3,-14.576399999999996
6208,3092,2018-09-29,2018-10-03,Standard Class,545,Corporate,Marion,Ohio,East,911,Office Supplies,Storage,51.168000000000006,2.0,0.2,-6.396000000000001
6211,3093,2018-08-18,2018-08-25,Standard Class,453,Corporate,Seattle,Washington,West,504,Furniture,Furnishings,65.94,3.0,0.0,22.419600000000003
6212,3094,2018-11-12,2018-11-16,Second Class,93,Consumer,Longview,Washington,West,829,Office Supplies,Fasteners,18.240000000000002,3.0,0.0,9.120000000000001
6213,3094,2018-11-12,2018-11-16,Second Class,93,Consumer,Longview,Washington,West,513,Office Supplies,Appliances,76.12,2.0,0.0,22.074799999999996
6214,3095,2015-10-11,2015-10-15,Standard Class,238,Consumer,Redondo Beach,California,West,588,Office Supplies,Envelopes,7.64,1.0,0.0,3.7436
6215,3096,2016-11-28,2016-12-03,Standard Class,466,Corporate,New York City,New York,East,205,Furniture,Furnishings,68.16,3.0,0.0,27.945600000000002
6216,3096,2016-11-28,2016-12-03,Standard Class,466,Corporate,New York City,New York,East,837,Office Supplies,Envelopes,62.24,8.0,0.0,29.2528
6217,3097,2016-07-27,2016-08-02,Standard Class,310,Consumer,Louisville,Kentucky,South,1136,Technology,Phones,29.97,3.0,0.0,0.29969999999999963
6218,3098,2017-10-20,2017-10-26,Standard Class,559,Consumer,Trenton,Michigan,Central,1020,Technology,Phones,125.69999999999999,6.0,0.0,35.196
6219,3098,2017-10-20,2017-10-26,Standard Class,559,Consumer,Trenton,Michigan,Central,664,Technology,Phones,191.98,2.0,0.0,51.834599999999995
6220,3098,2017-10-20,2017-10-26,Standard Class,559,Consumer,Trenton,Michigan,Central,383,Office Supplies,Storage,20.86,7.0,0.0,1.4601999999999977
6221,3099,2018-09-14,2018-09-18,Second Class,677,Consumer,Los Angeles,California,West,919,Office Supplies,Labels,56.699999999999996,9.0,0.0,26.081999999999997
6222,3100,2018-12-23,2018-12-27,Standard Class,213,Consumer,Hendersonville,Tennessee,South,205,Furniture,Furnishings,72.704,4.0,0.2,19.084800000000005
6223,3100,2018-12-23,2018-12-27,Standard Class,213,Consumer,Hendersonville,Tennessee,South,909,Office Supplies,Art,12.264,7.0,0.2,1.0730999999999993
6226,3101,2016-10-05,2016-10-09,Standard Class,223,Consumer,Portland,Oregon,West,1455,Furniture,Chairs,291.168,4.0,0.2,-14.558399999999978
6227,3102,2015-11-02,2015-11-07,Standard Class,138,Consumer,Irving,Texas,Central,687,Technology,Phones,88.77600000000001,3.0,0.2,7.767900000000001
6228,3103,2017-01-22,2017-01-27,Standard Class,404,Home Office,Cleveland,Ohio,East,40,Technology,Phones,110.376,4.0,0.4,-20.235600000000005
6229,3103,2017-01-22,2017-01-27,Standard Class,404,Home Office,Cleveland,Ohio,East,43,Technology,Accessories,55.176,3.0,0.2,15.8631
6230,3104,2018-07-11,2018-07-17,Standard Class,508,Consumer,Waterloo,Iowa,Central,773,Office Supplies,Art,30.32,4.0,0.0,11.8248
6231,3105,2018-09-11,2018-09-11,Same Day,226,Consumer,Seattle,Washington,West,637,Furniture,Chairs,177.568,2.0,0.2,8.878399999999992
6232,3105,2018-09-11,2018-09-11,Same Day,226,Consumer,Seattle,Washington,West,510,Office Supplies,Paper,19.44,3.0,0.0,9.3312
6235,3105,2018-09-11,2018-09-11,Same Day,226,Consumer,Seattle,Washington,West,1777,Technology,Phones,79.96,5.0,0.2,-17.991000000000003
6236,3106,2017-02-23,2017-02-27,Standard Class,141,Corporate,Philadelphia,Pennsylvania,East,244,Office Supplies,Envelopes,57.576,3.0,0.2,21.591
6237,3107,2017-01-22,2017-01-29,Standard Class,509,Consumer,New York City,New York,East,1263,Office Supplies,Binders,26.336000000000002,4.0,0.2,9.217600000000001
6238,3108,2016-12-12,2016-12-16,Standard Class,456,Consumer,San Jose,California,West,1281,Furniture,Furnishings,166.5,3.0,0.0,21.64500000000001
6239,3108,2016-12-12,2016-12-16,Standard Class,456,Consumer,San Jose,California,West,734,Office Supplies,Storage,360.38,2.0,0.0,93.6988
6240,3109,2017-10-29,2017-11-01,Second Class,109,Consumer,Los Angeles,California,West,908,Office Supplies,Binders,11.744,1.0,0.2,3.8167999999999997
6242,3111,2015-12-21,2015-12-28,Standard Class,503,Home Office,Columbia,Tennessee,South,999,Office Supplies,Binders,18.240000000000002,2.0,0.7,-14.591999999999999
6243,3112,2017-11-24,2017-11-28,Standard Class,615,Home Office,Bellevue,Washington,West,1566,Office Supplies,Supplies,25.349999999999998,3.0,0.0,7.604999999999998
6244,3113,2016-11-20,2016-11-25,Standard Class,683,Home Office,Seattle,Washington,West,1167,Office Supplies,Art,119.03999999999999,6.0,0.0,30.950400000000002
6245,3113,2016-11-20,2016-11-25,Standard Class,683,Home Office,Seattle,Washington,West,1256,Furniture,Furnishings,22.14,3.0,0.0,6.420599999999998
6246,3113,2016-11-20,2016-11-25,Standard Class,683,Home Office,Seattle,Washington,West,1695,Technology,Accessories,13.98,2.0,0.0,6.011400000000001
6247,3114,2018-05-29,2018-06-04,Standard Class,586,Consumer,Columbus,Indiana,Central,1311,Office Supplies,Binders,43.41,1.0,0.0,19.9686
6248,3114,2018-05-29,2018-06-04,Standard Class,586,Consumer,Columbus,Indiana,Central,1035,Furniture,Furnishings,6.24,3.0,0.0,2.6208000000000005
6250,3114,2018-05-29,2018-06-04,Standard Class,586,Consumer,Columbus,Indiana,Central,226,Office Supplies,Paper,7.98,1.0,0.0,3.99
6252,3116,2015-04-07,2015-04-07,Same Day,91,Home Office,Marietta,Georgia,South,490,Office Supplies,Paper,58.32000000000001,9.0,0.0,27.9936
6253,3116,2015-04-07,2015-04-07,Same Day,91,Home Office,Marietta,Georgia,South,1086,Technology,Phones,200.96999999999997,3.0,0.0,50.24250000000001
6254,3117,2016-09-08,2016-09-14,Standard Class,100,Corporate,Montgomery,Alabama,South,1565,Furniture,Furnishings,21.36,8.0,0.0,8.1168
6255,3118,2018-09-09,2018-09-15,Standard Class,136,Corporate,Plano,Texas,Central,85,Office Supplies,Labels,9.856000000000002,4.0,0.2,3.4495999999999993
6256,3119,2016-09-06,2016-09-08,Second Class,401,Home Office,Tamarac,Florida,South,1426,Office Supplies,Binders,3.444000000000001,1.0,0.7,-2.5256
6258,3121,2016-03-28,2016-03-30,Second Class,581,Consumer,New York City,New York,East,661,Office Supplies,Envelopes,22.919999999999998,3.0,0.0,11.230799999999999
6259,3122,2016-08-13,2016-08-17,Second Class,267,Consumer,Richmond,Indiana,Central,798,Office Supplies,Binders,11.36,4.0,0.0,5.5664
6260,3123,2016-05-12,2016-05-18,Standard Class,197,Consumer,Seattle,Washington,West,525,Office Supplies,Binders,14.592000000000002,3.0,0.2,4.9247999999999985
6261,3124,2018-07-23,2018-07-27,Standard Class,756,Corporate,Long Beach,New York,East,322,Office Supplies,Labels,41.4,4.0,0.0,19.872
6263,3126,2018-05-05,2018-05-10,Standard Class,453,Corporate,Columbus,Georgia,South,1023,Office Supplies,Binders,34.5,3.0,0.0,15.524999999999999
6264,3127,2017-10-06,2017-10-06,Same Day,101,Consumer,Tulsa,Oklahoma,Central,68,Office Supplies,Binders,28.849999999999998,5.0,0.0,14.424999999999999
6265,3128,2015-11-03,2015-11-08,Standard Class,247,Consumer,Nashville,Tennessee,South,834,Office Supplies,Paper,3.4880000000000004,2.0,0.2,1.1771999999999998
6266,3128,2015-11-03,2015-11-08,Standard Class,247,Consumer,Nashville,Tennessee,South,681,Office Supplies,Paper,143.85600000000002,9.0,0.2,48.551399999999994
6267,3129,2016-10-01,2016-10-04,Second Class,84,Home Office,Cambridge,Massachusetts,East,495,Technology,Phones,311.98,2.0,0.0,93.594
6268,3129,2016-10-01,2016-10-04,Second Class,84,Home Office,Cambridge,Massachusetts,East,1366,Office Supplies,Binders,22.450000000000003,5.0,0.0,10.327
6269,3130,2018-12-02,2018-12-06,Standard Class,179,Corporate,Oakland,California,West,140,Technology,Phones,39.992000000000004,1.0,0.2,-7.998400000000007
6271,3130,2018-12-02,2018-12-06,Standard Class,179,Corporate,Oakland,California,West,915,Office Supplies,Art,179.89999999999998,5.0,0.0,44.97499999999999
6272,3131,2018-12-11,2018-12-12,First Class,155,Corporate,Palatine,Illinois,Central,1196,Technology,Accessories,116.312,7.0,0.2,23.262400000000003
6273,3132,2017-07-17,2017-07-22,Second Class,589,Consumer,Seattle,Washington,West,1379,Furniture,Furnishings,12.419999999999998,3.0,0.0,4.4712
6274,3132,2017-07-17,2017-07-22,Second Class,589,Consumer,Seattle,Washington,West,1779,Technology,Accessories,428.40000000000003,3.0,0.0,89.964
6275,3132,2017-07-17,2017-07-22,Second Class,589,Consumer,Seattle,Washington,West,1592,Furniture,Furnishings,24.75,5.0,0.0,10.890000000000002
6276,3132,2017-07-17,2017-07-22,Second Class,589,Consumer,Seattle,Washington,West,300,Office Supplies,Labels,87.71,7.0,0.0,41.223699999999994
6277,3132,2017-07-17,2017-07-22,Second Class,589,Consumer,Seattle,Washington,West,54,Office Supplies,Storage,69.52,2.0,0.0,17.379999999999995
6278,3132,2017-07-17,2017-07-22,Second Class,589,Consumer,Seattle,Washington,West,780,Technology,Phones,20.784000000000002,2.0,0.2,-4.6764
6279,3132,2017-07-17,2017-07-22,Second Class,589,Consumer,Seattle,Washington,West,961,Office Supplies,Binders,12.816,3.0,0.2,4.165199999999999
6280,3133,2018-05-12,2018-05-16,Standard Class,101,Consumer,Cincinnati,Ohio,East,1139,Office Supplies,Labels,5.904,2.0,0.2,1.9926
6281,3134,2016-11-20,2016-11-26,Standard Class,523,Consumer,Marion,Ohio,East,1780,Furniture,Furnishings,63.824000000000005,2.0,0.2,9.573599999999994
6282,3134,2016-11-20,2016-11-26,Standard Class,523,Consumer,Marion,Ohio,East,1755,Office Supplies,Storage,141.552,3.0,0.2,-26.541000000000004
6286,3137,2017-10-24,2017-10-31,Standard Class,344,Home Office,Lebanon,Tennessee,South,835,Technology,Phones,239.976,3.0,0.2,17.998199999999997
6288,3138,2015-07-08,2015-07-12,Standard Class,182,Corporate,San Francisco,California,West,800,Office Supplies,Binders,196.704,6.0,0.2,68.84639999999997
6290,3139,2016-03-13,2016-03-18,Second Class,376,Home Office,Chico,California,West,514,Furniture,Furnishings,327.76,8.0,0.0,91.77280000000002
6292,3141,2016-04-22,2016-04-26,Standard Class,616,Consumer,Los Angeles,California,West,687,Technology,Phones,88.77600000000001,3.0,0.2,7.767900000000001
6293,3141,2016-04-22,2016-04-26,Standard Class,616,Consumer,Los Angeles,California,West,1394,Office Supplies,Art,64.14,3.0,0.0,16.6764
6294,3142,2015-09-16,2015-09-19,First Class,575,Corporate,New York City,New York,East,735,Office Supplies,Binders,33.552,1.0,0.2,12.581999999999999
6297,3143,2015-12-28,2016-01-01,Standard Class,321,Corporate,Beverly,Massachusetts,East,1733,Office Supplies,Paper,141.76,4.0,0.0,66.62719999999999
6298,3144,2015-10-21,2015-10-26,Standard Class,245,Corporate,San Diego,California,West,58,Office Supplies,Binders,36.36,3.0,0.2,12.2715
6299,3145,2018-11-30,2018-12-03,First Class,595,Home Office,San Francisco,California,West,1781,Furniture,Furnishings,25.83,3.0,0.0,9.557099999999998
6301,3146,2015-06-06,2015-06-12,Standard Class,641,Consumer,Chicago,Illinois,Central,755,Office Supplies,Envelopes,13.984000000000002,2.0,0.2,4.7196
6302,3147,2018-11-23,2018-11-27,Standard Class,117,Consumer,Dallas,Texas,Central,1692,Technology,Phones,195.96000000000004,5.0,0.2,19.596000000000018
6303,3148,2018-06-18,2018-06-20,Second Class,71,Home Office,Corpus Christi,Texas,Central,1090,Office Supplies,Paper,74.352,3.0,0.2,23.234999999999992
6304,3149,2018-05-05,2018-05-05,Same Day,482,Consumer,New York City,New York,East,711,Office Supplies,Paper,6.68,1.0,0.0,3.2064
6305,3150,2017-11-04,2017-11-06,Second Class,734,Corporate,Eugene,Oregon,West,1590,Office Supplies,Supplies,17.584000000000003,7.0,0.2,-4.1762
6306,3150,2017-11-04,2017-11-06,Second Class,734,Corporate,Eugene,Oregon,West,1585,Furniture,Chairs,104.78399999999999,1.0,0.2,-14.407800000000009
6307,3150,2017-11-04,2017-11-06,Second Class,734,Corporate,Eugene,Oregon,West,1673,Office Supplies,Paper,47.952000000000005,3.0,0.2,16.7832
6310,3150,2017-11-04,2017-11-06,Second Class,734,Corporate,Eugene,Oregon,West,640,Office Supplies,Paper,15.176,1.0,0.2,5.3115999999999985
6311,3151,2015-09-11,2015-09-16,Standard Class,752,Consumer,Oxnard,California,West,101,Furniture,Furnishings,127.94999999999999,3.0,0.0,21.751499999999986
6313,3152,2018-02-16,2018-02-21,Standard Class,243,Corporate,Fairfield,Connecticut,East,1250,Technology,Phones,14.99,1.0,0.0,7.3451
6314,3153,2015-11-24,2015-11-29,Standard Class,243,Corporate,Jackson,Michigan,Central,108,Office Supplies,Art,151.92,4.0,0.0,45.57599999999998
6315,3153,2015-11-24,2015-11-29,Standard Class,243,Corporate,Jackson,Michigan,Central,508,Office Supplies,Labels,196.62,2.0,0.0,96.3438
6316,3153,2015-11-24,2015-11-29,Standard Class,243,Corporate,Jackson,Michigan,Central,1415,Office Supplies,Paper,144.12,3.0,0.0,69.17759999999998
6317,3153,2015-11-24,2015-11-29,Standard Class,243,Corporate,Jackson,Michigan,Central,226,Office Supplies,Paper,15.96,2.0,0.0,7.98
6318,3154,2018-11-25,2018-11-29,Second Class,494,Corporate,Laguna Niguel,California,West,1557,Technology,Phones,39.96000000000001,5.0,0.2,3.4964999999999993
6319,3154,2018-11-25,2018-11-29,Second Class,494,Corporate,Laguna Niguel,California,West,126,Office Supplies,Paper,34.08,6.0,0.0,15.335999999999999
6320,3155,2018-09-28,2018-10-02,Standard Class,133,Corporate,Jacksonville,Florida,South,585,Office Supplies,Paper,10.368000000000002,2.0,0.2,3.6288
6321,3156,2015-10-13,2015-10-17,Standard Class,259,Corporate,Mount Vernon,New York,East,507,Office Supplies,Binders,7.752000000000001,3.0,0.2,2.8101
6322,3157,2015-06-03,2015-06-07,Second Class,176,Home Office,Midland,Michigan,Central,661,Office Supplies,Envelopes,15.28,2.0,0.0,7.4872
6323,3158,2015-06-17,2015-06-23,Standard Class,551,Consumer,Newark,Delaware,East,1734,Technology,Machines,65.97,3.0,0.0,31.005899999999997
6324,3159,2016-10-29,2016-11-02,Standard Class,240,Corporate,San Francisco,California,West,481,Office Supplies,Paper,33.4,5.0,0.0,16.032
6326,3160,2015-01-20,2015-01-26,Standard Class,190,Consumer,Westland,Michigan,Central,4,Office Supplies,Storage,13.98,1.0,0.0,4.0542
6327,3160,2015-01-20,2015-01-26,Standard Class,190,Consumer,Westland,Michigan,Central,269,Furniture,Furnishings,272.94,3.0,0.0,30.02340000000001
